[00:15:32.3449740][INFO/main.cpp:159] Yim's Menu Initializing
[00:30:20.2414185][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: ESVCS; DATA: "c":[-1021.42,-859.53,8.77],"name":353883353,"cd":[-1021,-859],"wlvl":3
[00:30:20.2415283][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: W_L; DATA: "c":[-1663.35,-754.28,9.41],"wantedlvl":0
[00:30:20.2415424][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: AWARD_XP; DATA: "amt":300,"type":2892279813,"cat":3893038019,"pt":3982455440,"slot":0
[00:35:18.6349728][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: W_L; DATA: "c":[-585.64,-650.89,32.52],"wantedlvl":1
[00:35:18.6350220][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: W_L; DATA: "c":[-585.64,-650.90,32.52],"wantedlvl":2
[00:35:18.6350425][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: W_L; DATA: "c":[-585.64,-650.89,32.52],"wantedlvl":3
[00:35:18.6350757][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: W_L; DATA: "c":[-585.64,-650.90,32.52],"wantedlvl":4
[00:35:18.6350850][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: ESVCS; DATA: "c":[-585.64,-650.90,32.52],"name":353883353,"cd":[-585,-650],"wlvl":4
[00:35:18.6351079][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: ESVCS; DATA: "c":[-585.64,-650.90,32.52],"name":353883353,"cd":[-585,-650],"wlvl":4
[00:35:18.6351283][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: ESVCS; DATA: "c":[-1025.15,-707.73,20.65],"name":353883353,"cd":[-1025,-707],"wlvl":4
[00:35:18.6351608][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: ESVCS; DATA: "c":[-1577.97,-633.53,30.08],"name":353883353,"cd":[-1577,-633],"wlvl":4
[00:35:18.6351816][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: ESVCS; DATA: "c":[-1276.68,-401.19,35.66],"name":353883353,"cd":[-1276,-401],"wlvl":4
[00:35:18.6352027][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: ESVCS; DATA: "c":[-1439.16,-648.20,28.93],"name":353883353,"cd":[-1439,-648],"wlvl":4
[00:35:18.6352099][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: ESVCS; DATA: "c":[-1255.44,-751.33,20.55],"name":353883353,"cd":[-1255,-751],"wlvl":4
[00:35:18.6352400][WARN/prepare_metric_for_sending.cpp:93] BAD METRIC: W_L; DATA: "c":[-1199.14,-821.99,14.89],"wantedlvl":5
